standard_id,designation,title,publisher,record_type,country_scope,primary_category,latest_known_edition,applicability,summary,official_url,source_download_url,notes
IEEE-C37-249-2024,IEEE C37.249-2024,"IEEE Guide for Categorizing Security Needs for Protection-, Automation-, and Control-Related Data Files",IEEE,guide,International / North America,C37 switchgear and protection equipment - Relays Protection and Control,2024,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.249-2024.",https://standards.ieee.org/ieee/C37.249/10784,,IEEE SA page status: Active Standard. Published: 2025-05-20. IEEE record number: 10784.
IEEE-C37-250-2020,IEEE C37.250-2020,"IEEE Guide for Engineering, Implementation, and Management of System Integrity Protection Schemes",IEEE,guide,International / North America,C37 switchgear and protection equipment - Relays Protection and Control,2020,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.250-2020.",https://standards.ieee.org/ieee/C37.250/5889,,IEEE SA page status: Active Standard. Published: 2020-06-17. IEEE record number: 5889.
IEEE-C37-251-2025,IEEE C37.251-2025,IEEE Standard for Common Protection and Control Settings or Configuration Data Format (COMSET),IEEE,standard,International / North America,C37 switchgear and protection equipment - Relays Protection and Control,2025,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.251-2025.",https://standards.ieee.org/ieee/C37.251/6704,,IEEE SA page status: Active Standard. Published: 2026-02-27. IEEE record number: 6704.
IEEE-C37-252-2024,IEEE C37.252-2024,IEEE Guide for Testing Automatic Voltage Control Systems in Regional Power Grids,IEEE,guide,International / North America,C37 switchgear and protection equipment - Testing Monitoring and Diagnostics,2024,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.252-2024.",https://standards.ieee.org/ieee/C37.252/7490,,IEEE SA page status: Active Standard. Published: 2024-07-16. IEEE record number: 7490.
IEEE-C37-300-2024,IEEE C37.300-2024,IEEE Guide for Centralized Protection and Control (CPC) Systems within a Substation,IEEE,guide,International / North America,C37 switchgear and protection equipment - Relays Protection and Control,2024,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C37 family metadata record for switchgear, circuit breakers, relays, reclosers, and protection equipment; this record points to the official IEEE SA page for IEEE C37.300-2024.",https://standards.ieee.org/ieee/C37.300/7258,,IEEE SA page status: Active Standard. Published: 2025-05-09. IEEE record number: 7258.
IEEE-C62-11-2020,IEEE C62.11-2020,IEEE Standard for Metal-Oxide Surge Arresters for AC Power Circuits (>1 kV),IEEE,standard,International / North America,C62 surge arresters and surge protective devices - Surge Arresters,2020,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C62 family metadata record for surge arresters, surge protective devices, insulation coordination, and transient overvoltage protection; this record points to the official IEEE SA page for IEEE C62.11-2020.",https://standards.ieee.org/ieee/C62.11/5839,,IEEE SA page status: Active Standard. Published: 2020-09-24. IEEE record number: 5839.
IEEE-C62-22-1-2024,IEEE C62.22.1-2024,IEEE Guide for Connection of Surge Arresters to Protect Insulated Shielded Electric Power Cable Systems Up to 46 kV,IEEE,guide,International / North America,C62 surge arresters and surge protective devices - Surge Arresters,2024,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C62 family metadata record for surge arresters, surge protective devices, insulation coordination, and transient overvoltage protection; this record points to the official IEEE SA page for IEEE C62.22.1-2024.",https://standards.ieee.org/ieee/C62.22.1/7435,,IEEE SA page status: Active Standard. Published: 2025-03-07. IEEE record number: 7435.
IEEE-C62-23-2017,IEEE C62.23-2017,IEEE Application Guide for Surge Protection of Electric Generating Plants,IEEE,guide,International / North America,C62 surge arresters and surge protective devices - Application Guides and Insulation Coordination,2017,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C62 family metadata record for surge arresters, surge protective devices, insulation coordination, and transient overvoltage protection; this record points to the official IEEE SA page for IEEE C62.23-2017.",https://standards.ieee.org/ieee/C62.23/5907,,IEEE SA page status: Active Standard. Published: 2018-04-06. IEEE record number: 5907.
IEEE-C62-31-2020,IEEE C62.31-2020,IEEE Standard for Test Methods and Preferred Values for Low-Voltage Gas Discharge Tube Surge-Protective Components,IEEE,standard,International / North America,C62 surge arresters and surge protective devices - Application Guides and Insulation Coordination,2020,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C62 family metadata record for surge arresters, surge protective devices, insulation coordination, and transient overvoltage protection; this record points to the official IEEE SA page for IEEE C62.31-2020.",https://standards.ieee.org/ieee/C62.31/7508,,IEEE SA page status: Active Standard. Published: 2021-01-26. IEEE record number: 7508.
IEEE-C62-33-2016,IEEE C62.33-2016,IEEE Standard for Test Methods and Performance Values for Metal-Oxide Varistor Surge Protective Components,IEEE,standard,International / North America,C62 surge arresters and surge protective devices - Testing and Transient Measurement,2016,"Consensus IEEE power and energy standard used where specified by law, code, authority having jurisdiction, utility requirement, project specification, or contract","IEEE C62 family metadata record for surge arresters, surge protective devices, insulation coordination, and transient overvoltage protection; this record points to the official IEEE SA page for IEEE C62.33-2016.",https://standards.ieee.org/ieee/C62.33/5229,,IEEE SA page status: Active Standard. Published: 2018-01-29. IEEE record number: 5229.
